"term","estimate","std.error","statistic","p.value","std_estimate"
"(Intercept)",17.0194299660401,2.28125865337959,7.4605437401088,3.71646268167659e-09,-0.021289808953011
"order_sensitivity",-0.394246686784029,0.125731650289922,-3.13562007557321,0.00316761981097259,-0.459381788176787
"high_blame",2.50121352591623,4.82319082563511,0.518580669174927,0.606840918644087,0.0532436934871113
"order_sensitivity:high_blame",-0.164252581975112,0.351053727694213,-0.467884454764101,0.642344885114777,-0.191389420253304
